Judy:阿桑
Aya:阿雅
Echo:艾可
Joi Tsai:蔡淳佳
Tanya Tsai:蔡健雅
Chin Tsai:蔡琴
Chiu Tsai:蔡秋凤
Delphine Choi:蔡幸娟
Jolin Tsai:蔡依林
Stephanie Che:车婉婉
Connie Chen:陈宝珠
Michelle Chan:陈冠茜
Kelly Chan:陈慧琳
Kelly Chen:陈慧琳
Flora Chan:陈慧珊
Priscilla Chan:陈慧娴
Ren'ee Chan:陈嘉唯
Trician Chen:陈见飞
Lily Chen:陈洁丽
Kit Chan:陈洁仪
Lin Chen:陈美玲
Ming Chen:陈明
Jane Chen:陈明真
YeeChing Chan:陈绮贞
Chelsia Chan:陈秋霞
Sandee Chan:陈珊妮
Sarah Chan:陈淑桦
Nadia Chan:陈松伶
BoBo Chan:陈文媛
Amy Chan:陈秀雯
Ying Chan:陈盈洁
Cindy Chan:陈予新
Makiyo Kawashima:川岛茉树代
Ailing Tai:戴爱玲
Penny Dai:戴佩妮
Wancy Dai:戴辛尉
Teresa Teng:邓丽君
Fei Ding:丁菲飞
Wei Ding:丁薇
KiKi Ding:丁文琪
T-ana Ding:丁小芹
Monie Tung:董敏莉
Teresa To:杜丽莎
Man Dou:杜雯惠
Fan Fan:范玮琪
Wen Fan:范文芳
Mavis Fan:范晓萱
HaoWen Fong:方皓玟
Fei Feng:凤飞飞
Maggie Fu:傅佩嘉
Rachel Fu:傅天颖
Cleo Ko:高晨维
Francesca Kao:高慧君
Malas Kao:高胜美
Ivy Koo:古倩敏
Jo Koo:谷祖琳
Gioria:顾莉雅
Susanna Kwan:关菊英
Shirley Kwan:关淑怡
Jade Kwan:关心妍
Lulu Kwok:郭嘉璐
Josie Ho:何超仪
Lilian Ho:何嘉莉
Jing Ho:何静
Lillian Ho:何俐恩
Sun Ho:何耀珊
Denise Ho:何韵诗
Alice Hung:洪爱莉
Wei Hung:洪玮
Ange Hau:侯湘婷
Paisely Hu:胡蓓蔚
Fei Huang:黄妃
Phoebe Huang:黄嘉千
Vanessa Wong:黄铃
Ssu Huang:黄思婷
Stella Wong:黄湘怡
Tiger Wong:黄小琥
Judi Wong:黄馨
Emme Wong:黄伊汶
Tracy Wong:黄莺莺
Kay Wong:黄韵玲
Ki Zoe:纪如璟
Jean Kiang:江彬
Liz Kong:江恩慈
Judy Gong:江蕙
Mei Kong:江美琪
GaYing Chiang:蒋嘉莹
Agnes Cheung:蒋丽萍
May Chin:金素梅
Ching Kang:康净淳
Mindy, Orr Ke:柯以敏
Chris Ke:柯以柔
Cally Kwong:邝美云
May Kwong:邝文洵
Pauline Lan:蓝心湄
Annabelle Lui:雷安娜
Vivian Lai:黎瑞恩
AnQi Lee:李安琪
Rain Lee:李彩桦
To Lee:李度
Amenda Lee:李蕙敏
Tiffany Lee:李茏怡
Coco Lee:李玟
Hsiang Lee:李香兰
Angelica Lee:李心洁
Yik Lee:李翊君
Romi Li:利绮
Pony Leung:梁珈瑜
Jasmine Leung:梁静茹
Fish Leong:梁静茹
Gigi Leung:梁咏琪
BaoBao:林宝
Dai Lin:林黛
Freya Lin:林凡
Karena Lam:林嘉欣
Mu Lam:林沐桦
Shino Lam:林晓培
Ruby Lam:林心如
Sandy Lam:林忆莲
Samantha Lam:林志美
Stacy Lau:刘纯如
Ginny Liu:刘虹桦
Prudence Lau:刘美君
Ching Liu:刘沁
Rene Liu:刘若英
Rowena Lo:露云娜
Ruby Lu:卢春如
Candy Lo:卢巧音
Jozie Lu:路嘉欣
Rosanne Lui:吕珊
Mimi Lo:罗敏庄
Anita Mui:梅艳芳
YaYa Meng:孟庭苇
Karen Mok:莫文蔚
Cidy Au:欧倩怡
Fei AuYeung:欧阳菲菲
Mei Pan:潘美辰
Michelle Pan:潘越云
Uku Pang:彭海桐
Julia Pang:彭佳慧
Jyotsna Pang:彭靖惠
Cass Pang:彭羚
Cass Phang:彭羚
Chyi:齐豫
Joey Yung:容祖儿
Denise Yuen:阮丹青
Rui En:芮恩
Fong Shun:沈芳如
Fanny Shu:舒淇
Shunza:顺子
Jessica Song:宋新妮
Tracy Su:苏慧伦
Yui So:苏芮
Tsui Sun:孙翠凤
Stefanie Sun:孙燕姿
Samantha Sun:孙颖
Yue Sun:孙悦
Karen Tong:汤宝如
Nana Tang:堂娜
Ching Tao:陶晶莹
Carmen Tao:陶莉萍
Delphine Chan:娃娃
Fong Man:万芳
liza Wong:汪明荃
Frankie Wong:汪佩蓉
FeiFei Wong:王非非
Faye Wong:王菲
Rong Wang:王蓉
Cyndi Wang:王心凌
Linda Wong:王馨平
Mango Wong:王秀琳
Yu Wong:王渝
Landy Wen:温岚
Judy Ongg:翁倩玉
Niki Ng:吴恩琪
Mar-G:吴名慧
Pally Wu:吴佩文
Yan Ng:吴日言
Mika Xiang:向蕙玲
Liliy Suzanne:萧淑慎
Xiao Xiao:萧潇
Elva Siu:萧亚轩
Elva Hsiao:萧亚轩
Elle Choi:小雪
Michelle Tse:谢采芸
Jeannie Tse:谢金燕
Wei Hsin:心微
Winnie Hsin:辛晓琪
Xin Xin:辛欣
Maya Showlen:秀兰玛雅
Yuki Tsui:徐怀钰
Jie Hsu:徐婕儿
Vivian Hsu:徐若瑄
Paula Tsui:徐小凤
Evonne Hsu:许慧欣
Christine, Hsu Hui:许景淳
Mavis Hui:许美静
Maple Hui:许秋怡
Valen Hui:许茹芸
Peggy Hsu:许哲佩
Fiona Sit:薛凯琪
Michelle Saram:雪儿
Mandy Yan:严淑明
Faith Yeung:杨乃文
Pao Yang:杨普评
Miriam Yeung:杨千嬅
Deanie Yip:叶德娴
Frances Yip:叶丽仪
Grace Yip:叶佩雯
Sally Yip:叶蒨文
Veronica Yip:叶玉卿
Annie Yi:伊能静
Shirley Yee:伊雪莉
Shelly Yu:于台烟
Bowie Tseng:曾宝仪
Shu Zeng:曾淑勤
Xin Zeng:曾心梅
ML Zhan:詹曼铃
Ya Zhan:詹雅雯
Sylvia Cheung:张艾嘉
Cecilia Cheung:张柏芝
De Cheung:张德兰
Feng Chang:张凤凤
Saya Chang:张惠春
A-Mei Cheung:张惠妹
Samantha Zhang:张铠潼
Cozzi Chang:张可芝
Stella Cheung:张清芳
Angela Chang:张韶涵
Nicola Cheung:张燊悦
Hsiu Chang:张秀卿
Yennis Cheung:张茵
Celest Chang:张玉华
Yu Chiu:赵颂茹
Vicki Chiu:赵薇
Bondy Chiu:赵学而
Cyndi Chaw:赵咏华
BiBi Chao:赵之璧
Nei Yan:甄妮
Joanne Zheng:郑琼之
Stephanie Cheng:郑融
Yumiko Cheng:郑希怡
Eva Cheng:郑新玮
Sammi Cheng:郑秀文
Suet Cheng:郑雪儿
Edith Chung:钟汶
Vivian Chow:周慧敏
Wai Chow:周蕙
Jue Zhou:周迅
Alex Chu:朱少薇
Rosita Chu:朱卫茵
Athena Chu:朱茵
Genie Zuo:卓文萱
Ken Choi:蔡枫华
Terence Choi:蔡国权
LanQin Cai:蔡蓝钦
Hsiao Tsai:蔡小虎
Remus Choy:蔡一杰
Danny Chan:陈百强
GuanPu Chan:陈冠蒲
Edison Chan:陈冠希
Eric Chen:陈冠宇
Kuo Chan:陈国华
Benny Chan:陈浩民
Fai Chan:陈辉阳
